recurrence_order,tap_value,reflected_value,matrix_order,global_antiperiod_h,gcd_matrix_with_order,gcd_matrix_with_value,gcd_matrix_with_order_plus_value,v2_matrix_order,k_divides_matrix_order,v_divides_matrix_order,k_plus_v_divides_matrix_order
98,74,24,735202414336435745920,,2,2,4,7,False,False,False
98,75,23,11972515182562019788602740026717047105680,,98,5,1,4,True,False,False
98,76,22,2132693335186671393552,,2,4,6,4,False,False,False
98,77,21,1860040,930020,98,7,35,3,True,False,False
98,78,20,3323601717660507994640,,2,2,16,4,False,False,False
98,79,19,9063653842890960278400368681323224517596728,,14,79,1,3,False,True,False
98,80,18,5908625413101667397284,,2,4,2,2,False,False,False
98,81,17,1001679670411269873525708984550161085840,,2,1,1,4,False,False,False
98,82,16,239299179135982230996640,,14,2,20,5,False,False,False
98,83,15,1510532332199900826770227071886809674449496,,14,1,1,3,False,False,False
98,84,14,10192,,98,28,182,4,True,False,True
98,85,13,12725370871323082538109218760922756592316406184,,2,1,1,3,False,False,False
98,86,12,2215730360617700224480,,14,2,8,5,False,False,False
98,87,11,132549209071347775752283185359969725801181120,,2,1,5,6,False,False,False
98,88,10,3321710264460192,,2,88,6,5,False,True,False
98,89,9,4786741481365369991385259228852316117214880,,2,1,11,5,False,False,False
98,90,8,8862487835746610078884,,2,2,4,2,False,False,False
98,91,7,33480776,16740388,14,7,7,3,False,False,False
98,92,6,340414419336819785776,,14,4,2,4,False,False,False
98,93,5,1590671360283359511069543999704208694128251048,,2,1,1,3,False,False,False
98,94,4,104932234904306270032,,2,94,16,4,False,True,False
98,95,3,1995415442360412474904721364428195123120,,14,5,1,4,False,False,False
98,96,2,182114824160358929840,,14,16,2,4,False,False,False
98,97,1,2909321189331662885969399015494739831345576,,2,1,1,3,False,False,False
99,1,98,22092532890612058847444126356527763232385200,,11,1,100,4,False,True,True
99,2,97,235655016338059203948780360406030608521032424,,11,2,1,3,False,True,False
99,3,96,8334778051087512,,3,3,6,3,False,True,False
99,4,95,28632084485111740613127036331433210753640725762,,11,2,1,1,False,False,False
99,5,94,298249189489799983276775189942297493227009840,,11,5,8,4,False,True,False
99,6,93,2676584717230398,,3,6,3,1,False,True,False
99,7,92,25836589879674314147692695956327967885883040,,11,1,2,5,False,False,False
99,8,91,863353550023023307848847978389706739120,,11,8,1,4,False,True,False
99,9,90,383760,,9,9,36,4,False,True,False
99,10,89,1590671360283954682931728035200227617739662008,,11,2,1,3,False,False,False
99,11,88,8008,,11,11,22,3,False,True,False
99,12,87,1366958956553520,,33,12,3,4,False,True,False
99,13,86,9543974285385592008623194431477681119623260344,,1,1,8,3,False,False,False
99,14,85,181804860179645191340607141648197583829280,,11,2,1,5,False,False,False
99,15,84,8338590849833283,,3,3,3,0,False,False,False
99,16,83,28632084485111740549549992018373956814618824962,,1,2,1,1,False,False,False
99,17,82,6607391678952327480934080165944603956683209840,,1,1,4,4,False,False,False
99,18,81,29520,,9,18,9,4,False,True,False
99,19,80,85896253455335221839410188294270212117017920333,,1,1,1,0,False,False,False
